date,type,value
19/09/18,open,111100.0000000
19/09/18,high,111190.0000000
19/09/18,low,111090.0000000
19/09/18,close,111180.0000000
19/09/18,open,111180.0000000
19/09/18,high,111370.0000000
19/09/18,low,111180.0000000
19/09/18,close,111340.0000000
19/09/18,open,111340.0000000
19/09/18,high,111340.0000000
19/09/18,low,111280.0000000
19/09/18,close,111300.0000000
19/09/18,open,111300.0000000
19/09/18,high,111310.0000000
19/09/18,low,111270.0000000
19/09/18,close,111290.0000000
19/09/18,open,111300.0000000
19/09/18,high,111680.0000000
19/09/18,low,111300.0000000
19/09/18,close,111580.0000000
19/09/18,open,111580.0000000
19/09/18,high,111600.0000000
19/09/18,low,111520.0000000
19/09/18,close,111550.0000000
19/09/18,open,111560.0000000
19/09/18,high,111630.0000000
19/09/18,low,111510.0000000
19/09/18,close,111510.0000000
19/09/18,open,111520.0000000
19/09/18,high,111530.0000000
19/09/18,low,111450.0000000
19/09/18,close,111500.0000000
19/09/18,open,111480.0000000
19/09/18,high,111510.0000000
19/09/18,low,111420.0000000
19/09/18,close,111430.0000000
19/09/18,open,111440.0000000
19/09/18,high,111480.0000000
19/09/18,low,111410.0000000
19/09/18,close,111470.0000000
19/09/18,open,111470.0000000
19/09/18,high,111680.0000000
19/09/18,low,111470.0000000
19/09/18,close,111620.0000000
19/09/18,open,111630.0000000
19/09/18,high,111750.0000000
19/09/18,low,111570.0000000
19/09/18,close,111680.0000000
19/09/18,open,111670.0000000
19/09/18,high,111780.0000000
19/09/18,low,111610.0000000
19/09/18,close,111700.0000000
19/09/18,open,111700.0000000
19/09/18,high,111710.0000000
19/09/18,low,111630.0000000
19/09/18,close,111690.0000000
19/09/18,open,111680.0000000
19/09/18,high,111690.0000000
19/09/18,low,111660.0000000
19/09/18,close,111660.0000000
19/09/18,open,111680.0000000
19/09/18,high,111690.0000000
19/09/18,low,111620.0000000
19/09/18,close,111620.0000000
19/09/18,open,111630.0000000
19/09/18,high,111640.0000000
19/09/18,low,111590.0000000
19/09/18,close,111640.0000000
19/09/18,open,111640.0000000
19/09/18,high,111730.0000000
19/09/18,low,111640.0000000
19/09/18,close,111700.0000000
19/09/18,open,111700.0000000
19/09/18,high,111720.0000000
19/09/18,low,111650.0000000
19/09/18,close,111670.0000000
19/09/18,open,111670.0000000
19/09/18,high,111700.0000000
19/09/18,low,111650.0000000
19/09/18,close,111690.0000000
19/09/18,open,111700.0000000
19/09/18,high,111730.0000000
19/09/18,low,111680.0000000
19/09/18,close,111700.0000000
19/09/18,open,111700.0000000
19/09/18,high,111710.0000000
19/09/18,low,111670.0000000
19/09/18,close,111680.0000000
19/09/18,open,111680.0000000
19/09/18,high,111710.0000000
19/09/18,low,111660.0000000
19/09/18,close,111660.0000000
19/09/18,open,111680.0000000
19/09/18,high,111690.0000000
19/09/18,low,111640.0000000
19/09/18,close,111660.0000000
19/09/18,open,111660.0000000
19/09/18,high,111700.0000000
19/09/18,low,111650.0000000
19/09/18,close,111660.0000000
19/09/18,open,111670.0000000
19/09/18,high,111710.0000000
19/09/18,low,111670.0000000
19/09/18,close,111670.0000000
19/09/18,open,111680.0000000
19/09/18,high,111680.0000000
19/09/18,low,111620.0000000
19/09/18,close,111640.0000000
19/09/18,open,111640.0000000
19/09/18,high,111650.0000000
19/09/18,low,111620.0000000
19/09/18,close,111650.0000000
19/09/18,open,111650.0000000
